run,month,fish_before,fish_after,total_caught,sustainability_threshold,over_threshold,Emma,Sophia,Ava,Jake,Olivia,Mason,Ethan,Isabella,Liam
1,1,100,35,65,17,True,15.0,10.0,10.0,10.0,20,,,,
1,2,70,33,37,16,True,8.0,8.0,8.0,8.0,5,,,,
1,3,66,31,35,15,True,8.0,7.0,8.0,7.0,5,,,,
1,4,62,31,31,15,True,8.0,5.0,8.0,5.0,5,,,,
1,5,62,33,29,16,True,7.0,5.0,7.0,5.0,5,,,,
1,6,66,37,29,18,True,7.0,5.0,7.0,5.0,5,,,,
1,7,74,43,31,21,True,8.0,5.0,7.0,5.0,6,,,,
1,8,86,56,30,28,True,7.0,5.0,7.0,5.0,6,,,,
1,9,100,70,30,35,False,7.0,5.0,7.0,5.0,6,,,,
1,10,100,70,30,35,False,7.0,5.0,7.0,5.0,6,,,,
1,11,100,70,30,35,False,7.0,5.0,7.0,5.0,6,,,,
1,12,100,70,30,35,False,7.0,5.0,7.0,5.0,6,,,,
2,1,100,45,55,22,True,,,,,10,15.0,10.0,10.0,10.0
2,2,90,40,50,20,True,,,,,10,10.0,10.0,10.0,10.0
2,3,80,38,42,19,True,,,,,8,8.0,8.0,10.0,8.0
2,4,76,38,38,19,True,,,,,8,7.0,8.0,8.0,7.0
2,5,76,45,31,22,True,,,,,5,8.0,5.0,8.0,5.0
2,6,90,55,35,27,True,,,,,5,10.0,5.0,10.0,5.0
2,7,100,65,35,32,True,,,,,7,7.0,7.0,7.0,7.0
2,8,100,65,35,32,True,,,,,7,7.0,7.0,7.0,7.0
2,9,100,65,35,32,True,,,,,7,7.0,7.0,7.0,7.0
2,10,100,66,34,33,True,,,,,7,7.0,6.0,7.0,7.0
2,11,100,65,35,32,True,,,,,7,7.0,7.0,7.0,7.0
2,12,100,65,35,32,True,,,,,7,7.0,7.0,7.0,7.0
