fisherman,memory,metadata
Emma,I,{}
Emma,D,{}
Emma, ,{}
Emma, ,{}
Emma,n,{}
Emma,o,{}
Emma,t,{}
Emma, ,{}
Emma,f,{}
Emma,o,{}
Emma,u,{}
Emma,n,{}
Emma,d,{}
Emma,.,{}
Mason,I,{}
Mason,D,{}
Mason, ,{}
Mason, ,{}
Mason,n,{}
Mason,o,{}
Mason,t,{}
Mason, ,{}
Mason,f,{}
Mason,o,{}
Mason,u,{}
Mason,n,{}
Mason,d,{}
Mason,.,{}
Ethan,I,{}
Ethan,D,{}
Ethan, ,{}
Ethan, ,{}
Ethan,n,{}
Ethan,o,{}
Ethan,t,{}
Ethan, ,{}
Ethan,f,{}
Ethan,o,{}
Ethan,u,{}
Ethan,n,{}
Ethan,d,{}
Ethan,.,{}
Noah,I,{}
Noah,D,{}
Noah, ,{}
Noah, ,{}
Noah,n,{}
Noah,o,{}
Noah,t,{}
Noah, ,{}
Noah,f,{}
Noah,o,{}
Noah,u,{}
Noah,n,{}
Noah,d,{}
Noah,.,{}
Ava,I,{}
Ava,D,{}
Ava, ,{}
Ava, ,{}
Ava,n,{}
Ava,o,{}
Ava,t,{}
Ava, ,{}
Ava,f,{}
Ava,o,{}
Ava,u,{}
Ava,n,{}
Ava,d,{}
Ava,.,{}
