run,month,fish_before,fish_after,total_caught,sustainability_threshold,Isabella_caught,Isabella_over_threshold,Emma_caught,Emma_over_threshold,Sophia_caught,Sophia_over_threshold,Ethan_caught,Ethan_over_threshold,Olivia_caught,Olivia_over_threshold
1,1,100,25,75,12,15,True,15,True,15,True,15,True,15,True
1,2,50,0,50,0,10,True,10,True,10,True,10,True,10,True
2,1,100,25,75,12,15,True,15,True,15,True,15,True,15,True
2,2,50,5,45,2,5,True,10,True,10,True,10,True,10,True
2,3,10,10,0,5,0,False,0,False,0,False,0,False,0,False
2,4,20,10,10,5,2,False,2,False,2,False,2,False,2,False
2,5,20,11,9,5,2,False,2,False,2,False,2,False,1,False
2,6,22,17,5,8,1,False,1,False,1,False,1,False,1,False
2,7,34,29,5,14,1,False,1,False,1,False,1,False,1,False
2,8,58,53,5,26,1,False,1,False,1,False,1,False,1,False
2,9,100,90,10,45,2,False,2,False,2,False,2,False,2,False
2,10,100,90,10,45,2,False,2,False,2,False,2,False,2,False
2,11,100,85,15,42,3,False,3,False,3,False,3,False,3,False
2,12,100,80,20,40,4,False,4,False,4,False,4,False,4,False
3,1,100,25,75,12,15,True,15,True,15,True,15,True,15,True
3,2,50,5,45,2,10,True,10,True,10,True,10,True,5,True
3,3,10,2,8,1,2,True,1,False,2,True,2,True,1,False
4,1,100,25,75,12,15,True,15,True,15,True,15,True,15,True
4,2,50,0,50,0,10,True,10,True,10,True,10,True,10,True
5,1,100,25,75,12,15,True,15,True,15,True,15,True,15,True
5,2,50,5,45,2,10,True,5,True,10,True,10,True,10,True
5,3,10,1,9,0,2,True,2,True,2,True,1,True,2,True
