norm,importance,recency,month_added,last_updated
"When the lake's fish population is below 80% of its capacity, each fisherman should aim to catch no more than 8 tons of fish to promote faster recovery.",0.0,0.9,0,59
"When the lake's fish population is between 60% and 80% of its capacity, each fisherman should aim to catch no more than 6 tons of fish to promote faster recovery and build a buffer against unforeseen circumstances.",0.6,0.9,1,59
"When the lake's fish population is between 50% and 60% of its capacity, each fisherman should aim to catch no more than 6 tons of fish to promote faster recovery and build a buffer against unforeseen circumstances.",0.7,0.9,2,59
"When the lake's fish population is between 60% and 80% of its capacity, each fisherman should aim to catch no more than 6 tons of fish to promote faster recovery and build a buffer against unforeseen circumstances. If everyone agrees to catch less, it is important to stick to the agreed amount to ensure the collective goal is achieved.",0.7,0.9,3,59
"When the lake's fish population is at or above 70% of its capacity, and there is a community consensus to reduce fishing, each fisherman should adhere to the agreed-upon lower catch limit to ensure collective sustainability and long-term health of the lake. This promotes trust and shared responsibility within the community.",0.8,0.9,4,59
"When the lake's fish population is at full capacity (100 tons), and there is a community consensus to slightly increase fishing, each fisherman should adhere to the agreed-upon higher catch limit, while closely monitoring the fish population and being prepared to adjust their catch if needed to ensure collective sustainability and long-term health of the lake. This promotes trust and shared responsibility within the community.",0.8,0.9,5,59
"When the lake's fish population is above 70% of its capacity, and the community agrees to reduce individual catches to promote sustainability, all fishermen should adhere to the agreed-upon lower catch limit. This fosters shared responsibility and ensures the lake's long-term health, while also requiring continuous monitoring of the fish population to adapt fishing practices as needed.",0.8,0.9,6,59
"When the lake's fish population is at or near full capacity (100 tons), and the community agrees on a specific catch limit to maintain sustainability, all fishermen should adhere to that agreed-upon limit. This fosters collective responsibility and ensures the long-term health of the lake, while requiring continuous monitoring of the fish population to adapt fishing practices as needed.",0.9,0.9,7,59
"When the lake's fish population is below full capacity (100 tons) but above a safe threshold (e.g., 75 tons), and the community expresses consensus on a specific catch limit to promote lake recovery, all fishermen should adhere to that agreed-upon limit. This ensures collective responsibility and the long-term health of the lake, while requiring continuous monitoring of the fish population to adapt fishing practices as needed.",0.9,0.9,8,59
"When the lake's fish population is below full capacity (100 tons) but above the collapse threshold (5 tons), and the community expresses consensus on a specific catch limit to promote lake recovery or maintain a sustainable level, all fishermen should adhere to that agreed-upon limit. This ensures collective responsibility and the long-term health of the lake, while requiring continuous monitoring of the fish population to adapt fishing practices as needed. If a consensus cannot be reached, the default catch limit should be set to allow the fish population to recover to at least 90% of the lake's capacity.",0.9,0.9,9,59
