norm,importance,recency,month_added,last_updated
"Prior to the beginning of each month, all fishermen will communicate their intended catch to the group to ensure collective catch remains sustainable. This communication should include the individual's planned tonnage.",0.0,0.9,0,51
"Prior to the beginning of each month, all fishermen will not only communicate their intended catch, but also *confirm* their commitment to that catch the morning of the first fishing day. This confirmation serves as a final check to ensure adherence to the agreed-upon sustainable level.",0.8,0.9,1,51
"Prior to announcing individual catch intentions each month, fishermen will briefly share their reasoning for choosing that tonnage, focusing on long-term sustainability and lake health. This sharing should be concise – no more than 30 seconds per fisherman.",0.7,0.9,2,51
"If the remaining fish population falls below 40 tons, the total community catch will be reduced by 20% the following month. This reduction will be distributed equally among the fishermen.",0.7,0.9,3,51
"To ensure consistent monitoring of lake health and individual contributions, each fisherman will report their cumulative catch for the *year* to the community at the end of each month, in addition to confirming their monthly catch. This will allow us to track individual fishing patterns and adjust strategies as needed to maintain long-term sustainability.",0.6,0.9,4,51
"Fishermen will continue to share their reasoning for their chosen catch tonnage each month, and will also briefly state their confidence level (on a scale of 1-5, with 1 being 'not confident' and 5 being 'very confident') in the current collective catch target ensuring transparency and allowing for proactive adjustments.",0.75,0.9,5,51
"Fishermen will briefly share their confidence level (on a scale of 1-5, with 1 being 'not confident' and 5 being 'very confident') in their *individual* catch tonnage each month, in addition to sharing their reasoning. This will allow for a more nuanced understanding of individual risk tolerance and potential adjustments to the collective catch target.",0.6,0.9,6,51
"Fishermen will proactively share any personal circumstances that may influence their intended catch tonnage each month, alongside their stated tonnage and confidence level. This includes, but is not limited to, unexpected expenses, family needs, or changes in fishing equipment.",0.6,0.9,7,51
"To ensure consistent progress towards our 70-75 ton target, each fisherman will state their intended catch tonnage *and* the remaining lake tonnage they anticipate after all catches are combined. This allows for immediate collective assessment and adjustment before finalizing individual catches.",0.7,0.9,8,51
"Given the consistent success and comfort level with the 3-ton catch, and the value placed on mid-month check-ins, we should formalize a 'Mid-Month Assessment Protocol'. This protocol requires a brief, one-sentence update from each fisherman around the 15th of each month, stating their current assessment of the lake's health and their intention to maintain, increase, or decrease their planned catch for the month. This allows for proactive adjustments based on real-time conditions and reinforces our commitment to collective responsibility.",0.7,0.9,9,51
"Given the community's consistent alignment and prioritization of open communication, we will formalize a 'Collective Catch Confidence Indicator'. Each month, alongside individual catch tonnages, fishermen will also report a collective confidence score (1-5) reflecting their overall belief in the sustainability of the planned total catch. This score will serve as an early warning system, prompting discussion if it falls below 3, and will be reviewed alongside the Mid-Month Assessment Protocol.",0.75,0.9,10,51
"Given the consistent communication and comfort level with a collective catch around 2.5-3 tons, and recognizing the benefit of proactive adjustments, we should establish a 'Collective Catch Range Protocol'. This protocol formalizes a target collective catch range of 10-15 tons per month. If, at any point during the month, the community anticipates exceeding or falling significantly below this range (defined as exceeding 16 tons or falling below 9 tons), a brief community discussion will be initiated to reassess and adjust individual catches accordingly.",0.75,0.9,11,51
"Building upon the existing 'Collective Catch Range Protocol', we will implement a 'Monthly Catch Adjustment Review'. At the end of each month, following the catch and reproduction calculations, the community will briefly review the actual total catch against the target range (10-15 tons) and the lake's remaining tonnage. This review will inform a collective discussion about whether to maintain, raise, or lower the target range for the following month, ensuring proactive adaptation to the lake's health and preventing over or under-fishing. Individual fishermen are expected to actively participate in this review and be open to adjusting their catches based on the collective assessment.",0.85,0.9,12,51
"To further enhance transparency and proactive adaptation, we will introduce a 'Catch Deviation Notification' protocol. If any fisherman intends to deviate from their previously stated catch tonnage for the month by more than 1 ton, they must notify the community at least 24 hours before the end of the month. This notification should include the proposed new tonnage and a brief explanation for the change. This allows for open discussion and prevents sudden shifts in the collective catch that could destabilize the lake's health.",0.7,0.9,13,51
"Given the consistent agreement on a 10-12 ton total catch and individual catches of 2 tons, we should establish a 'Baseline Catch Protocol'. This protocol states that unless a fisherman explicitly communicates a change in their intended catch *before* the start of the month, they will default to a 2-ton catch. This streamlines decision-making while preserving individual agency and the transparency requirement.",0.6,0.9,14,51
