norm,importance,recency,month_added,last_updated
"Effective next month, each fisherman will limit their catch to a maximum of 15 tons. We will review this limit again at the end of the following month based on the lake's remaining fish population. This is a high importance suggestion (0.9).",0.0,0.9,0,49
"Effective immediately, each fisherman will limit their catch to a maximum of 8 tons per month. We will review this limit again at the end of the following month based on the lake's remaining fish population. This is a high importance suggestion (0.9).",0.8,0.9,1,49
"Effective immediately, each fisherman will limit their catch to a maximum of 10 tons per month. We will review this limit again at the end of the following month based on the lake's remaining fish population. This is a high importance suggestion (0.9).",0.8,0.9,2,49
"Update Existing Norm: Effective immediately, each fisherman will limit their catch to a maximum of 8 tons per month. We will review this limit again at the end of the following month based on the lake's remaining fish population. This is a high importance suggestion (0.9).",0.9,0.9,3,49
"Effective immediately, each fisherman will limit their catch to a maximum of 8 tons per month. We will review this limit again at the end of the following month based on the lake's remaining fish population. This is a high importance suggestion (0.9).",0.9,0.9,4,49
"Effective immediately, each fisherman will limit their catch to a maximum of 8 tons per month. We will review this limit again at the end of the following month based on the lake's remaining fish population. This is a high importance suggestion (0.9).",0.9,0.9,5,49
"Effective immediately, each fisherman will limit their catch to a maximum of 6 tons per month. We will review this limit again at the end of the following month based on the lake's remaining fish population. This is a medium importance suggestion (0.7).",0.7,0.9,6,49
"Given the current situation and our collective agreement to limit catches to 8 tons per month, I propose we implement a revised norm: Each fisherman will limit their catch to a maximum of 8 tons per month. We will review this limit again at the end of the following month based on the lake's remaining fish population. This is a high importance suggestion (0.9).",0.9,0.9,7,49
"Given our current success with a 8-ton catch, I propose we maintain the existing norm: Each fisherman will limit their catch to a maximum of 8 tons per month. We will monitor the lake's remaining fish population closely and revisit this limit at the end of the following month. This is a high importance suggestion (0.9).",0.9,0.9,8,49
"Given our current success with an 8-ton catch, I propose we maintain the existing norm: Each fisherman will limit their catch to a maximum of 8 tons per month. We will monitor the lake's remaining fish population closely and revisit this limit at the end of the following month. This is a high importance suggestion (0.9).",0.9,0.9,9,49
"Given our recent success and the need for sustainability, I propose we update the existing norm. Each fisherman will limit their catch to a maximum of 10 tons per month. We will closely monitor the lake's remaining fish population and revisit this limit at the end of the following month. This is a medium importance suggestion (0.7).",0.7,0.9,10,49
"Given our current success with an 8-ton catch, I propose we maintain the existing norm: Each fisherman will limit their catch to a maximum of 8 tons per month. We will monitor the lake's remaining fish population closely and revisit this limit at the end of the following month. This is a high importance suggestion (0.9).",0.9,0.9,11,49
"Given our consistent success with an 8-ton catch and the observed trend of 40% utilization, I propose we maintain the existing norm: Each fisherman will limit their catch to a maximum of 8 tons per month. However, we will implement a new monitoring protocol. At the end of each month, we will calculate the percentage of the lake's capacity utilized by the total catch. If this percentage exceeds 40%, we will immediately reduce each fisherman's catch to 6 tons for the following month. This is a medium importance suggestion (0.7).",0.7,0.9,12,49
"Given our current success with an 8-ton catch and the Mayor’s concerns about sustainability, I propose we maintain the existing norm: Each fisherman will limit their catch to a maximum of 8 tons per month. Furthermore, we will implement a new monitoring system – each fisherman will record the exact weight of their catch at the end of the month. This will provide us with more precise data on our fishing practices and allow us to adjust our strategy if needed. This is a medium importance suggestion (0.7).",0.7,0.9,13,49
"Given our current success with an 8-ton catch and the community’s strong consensus, I propose we maintain the existing norm: Each fisherman will limit their catch to a maximum of 8 tons per month. We will monitor the lake's remaining fish population closely and revisit this limit at the end of the following month. This is a high importance suggestion (0.9).",0.9,0.9,14,49
We will maintain the existing norm: Each fisherman will limit their catch to a maximum of 8 tons per month. We will also implement a new monitoring system where we track the lake's remaining fish population every week and report our findings to the entire community. This will allow us to proactively adjust our catches if needed. This is a high importance suggestion (0.9).,0.9,0.9,15,49
"Given the current stability at 8 tons per fisherman and the community’s strong consensus, I propose we maintain the existing norm: Each fisherman will limit their catch to a maximum of 8 tons per month. We will monitor the lake's remaining fish population closely and revisit this limit at the end of the following month. This is a high importance suggestion (0.9).",0.9,0.9,16,49
