run,month,fish_before,fish_after,total_caught,sustainability_threshold,Mason_caught,Mason_over_threshold,Noah_caught,Noah_over_threshold,Sophia_caught,Sophia_over_threshold,Ava_caught,Ava_over_threshold,Ethan_caught,Ethan_over_threshold
1,1,100,10,90,5,20,True,30,True,20,True,20,True,0,False
1,2,20,-45,65,0,5,True,25,True,5,True,15,True,15,True
2,1,100,32,68,16,12,False,20,True,12,False,12,False,12,False
2,2,64,-4,68,0,12,True,20,True,12,True,12,True,12,True
3,1,100,32,68,16,12,False,20,True,12,False,12,False,12,False
3,2,64,-9,73,0,12,True,25,True,12,True,12,True,12,True
4,1,100,32,68,16,12,False,20,True,12,False,12,False,12,False
4,2,64,0,64,0,12,True,20,True,12,True,12,True,8,True
5,1,100,40,60,20,12,False,12,False,12,False,12,False,12,False
5,2,80,22,58,11,12,True,10,False,12,True,12,True,12,True
5,3,44,-10,54,0,12,True,10,True,12,True,8,True,12,True
