run,month,fish_before,fish_after,total_caught,sustainability_threshold,Isabella_caught,Isabella_over_threshold,Liam_caught,Liam_over_threshold,Sophia_caught,Sophia_over_threshold,Ava_caught,Ava_over_threshold,Ethan_caught,Ethan_over_threshold
1,1,100,20,80,10,15,True,20,True,15,True,15,True,15,True
1,2,40,-82,122,0,25,True,27,True,25,True,20,True,25,True
2,1,100,20,80,10,15,True,20,True,15,True,15,True,15,True
2,2,40,0,40,0,8,True,8,True,8,True,8,True,8,True
3,1,100,20,80,10,15,True,20,True,15,True,15,True,15,True
3,2,40,12,28,6,12,True,4,False,4,False,4,False,4,False
3,3,24,12,12,6,3,False,2,False,3,False,2,False,2,False
3,4,24,7,17,3,2,False,7,True,4,True,2,False,2,False
3,5,14,1,13,0,2,True,7,True,2,True,1,True,1,True
4,1,100,20,80,10,15,True,20,True,15,True,15,True,15,True
4,2,40,6,34,3,7,True,6,True,7,True,7,True,7,True
4,3,12,2,10,1,2,True,2,True,2,True,2,True,2,True
5,1,100,20,80,10,15,True,20,True,15,True,15,True,15,True
5,2,40,1,39,0,10,True,5,True,8,True,8,True,8,True
