run,month,fish_before,fish_after,total_caught,sustainability_threshold,Jake_caught,Jake_over_threshold,Sophia_caught,Sophia_over_threshold,Mason_caught,Mason_over_threshold,Ava_caught,Ava_over_threshold,Ethan_caught,Ethan_over_threshold
1,1,100,20,80,10,15,True,20,True,15,True,15,True,15,True
1,2,40,4,36,2,8,True,8,True,8,True,8,True,4,True
2,1,100,21,79,10,16,True,15,True,16,True,16,True,16,True
2,2,42,8,34,4,6,True,8,True,6,True,6,True,8,True
2,3,16,1,15,0,3,True,3,True,3,True,3,True,3,True
3,1,100,24,76,12,15,True,16,True,15,True,15,True,15,True
3,2,48,10,38,5,8,True,6,True,8,True,8,True,8,True
3,3,20,1,19,0,4,True,3,True,4,True,4,True,4,True
4,1,100,19,81,9,15,True,18,True,15,True,15,True,18,True
4,2,38,6,32,3,6,True,7,True,6,True,6,True,7,True
4,3,12,2,10,1,2,True,2,True,2,True,2,True,2,True
5,1,100,22,78,11,15,True,18,True,15,True,15,True,15,True
5,2,44,4,40,2,8,True,8,True,8,True,8,True,8,True
