norm,importance,recency,month_added,last_updated
"Fishermen should aim to catch between 20-25 tons of fish per month, with an emphasis on targeting larger fish and considering the lake's reproduction rate",0.0,0.9,0,13
"Fishermen should aim to catch between 15-19 tons of fish per month, with an emphasis on targeting larger fish and considering the lake's reproduction rate",0.7,0.9,1,13
"Fishermen should aim to catch between 17-19 tons of fish per month, with an emphasis on targeting larger fish and considering the lake's reproduction rate",0.7,0.9,2,13
"Fishermen should aim to catch between 10-15 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.8,0.9,3,13
"Fishermen should aim to catch between 12-15 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.8,0.9,4,13
"Fishermen should aim to catch between 14-17 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.9,0.9,5,13
"Fishermen should aim to catch between 8-12 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.7,0.9,6,13
"Fishermen should aim to catch between 12-15 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate.",0.9,0.9,7,13
"Fishermen should aim to catch between 10-13 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.9,0.9,8,13
"Fishermen should aim to catch between 12-13 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.8,0.9,9,13
"Fishermen should aim to catch between 10-12 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.9,0.9,10,13
"Fishermen should aim to catch between 10-15 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.8,0.9,11,13
"Each fisherman should aim to catch between 15-16 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.9,0.9,12,13
"Fishermen should aim to catch between 8-12 tons of fish per month, with an emphasis on targeting specific species or sizes of fish and considering the lake's reproduction rate",0.9,1.0,13,13
