run,month,fish_before,fish_after,total_caught,sustainability_threshold,Emma_caught,Emma_over_threshold,Jake_caught,Jake_over_threshold,Isabella_caught,Isabella_over_threshold,Mason_caught,Mason_over_threshold,Sophia_caught,Sophia_over_threshold
1,1,100,5,95,2,20,True,15,True,20,True,20,True,20,True
1,2,10,-73,83,0,22,True,12,True,22,True,15,True,12,True
2,1,100,16,84,8,17,True,18,True,17,True,17,True,15,True
2,2,32,-55,87,0,18,True,15,True,18,True,18,True,18,True
3,1,100,42,58,21,12,False,10,False,12,False,12,False,12,False
3,2,84,20,64,10,12,True,15,True,12,True,12,True,13,True
3,3,40,-20,60,0,12,True,12,True,12,True,12,True,12,True
4,1,100,52,48,26,10,False,8,False,10,False,10,False,10,False
4,2,100,39,61,19,12,False,13,False,12,False,12,False,12,False
4,3,78,15,63,7,12,True,13,True,12,True,12,True,14,True
4,4,30,-31,61,0,12,True,13,True,12,True,12,True,12,True
5,1,100,46,54,23,10,False,12,False,11,False,11,False,10,False
5,2,92,31,61,15,12,False,13,False,12,False,12,False,12,False
5,3,62,-4,66,0,12,True,14,True,12,True,14,True,14,True
